,Unnamed: 0,name,price,days,rooms,bathrooms,capacity,date,province
83,83,velez sarsfield 4600 piso 1,150000.0,,1.0,1.0,,18-12-2023,buenos-aires
84,84,j c chiozza 2600 piso 10,35000.0,,1.0,,,18-12-2023,buenos-aires
85,85,las heras 2500 piso 1,,,,,,18-12-2023,buenos-aires
86,86,bolivar 1300,,,1.0,,,18-12-2023,buenos-aires
87,87,maipu 3200 piso 1,45000.0,,2.0,,,18-12-2023,buenos-aires
88,88,corrientes 300,,,1.0,,,18-12-2023,buenos-aires
89,89,de la tijereta 700 piso 2,,,3.0,,,18-12-2023,buenos-aires
90,90,pasaje del caminante y del portal 100 piso 6,,,1.0,,,18-12-2023,buenos-aires
91,91,corrientes 1400,900000.0,,2.0,,,18-12-2023,buenos-aires
92,92,avenida del libertador 2800 piso 10,,,1.0,,,18-12-2023,buenos-aires
93,93,corrientes 1400,1000000.0,,2.0,,,18-12-2023,buenos-aires
94,94,avenida bartolome mitre 2700 piso pb,,,2.0,2.0,,18-12-2023,buenos-aires
95,95,avenida 1 4500,,,2.0,,,18-12-2023,buenos-aires
96,96,corrientes al 1900,45500.0,,1.0,,,18-12-2023,buenos-aires
97,97,moreno al 2100,35000.0,,2.0,,,18-12-2023,buenos-aires
98,98,velez sarsfield 6300,157000.0,,,,,18-12-2023,buenos-aires
99,99,santiago del estero al 2300,22000.0,,,1.0,,18-12-2023,buenos-aires
