,name,price,days,rooms,bathrooms,capacity,date,province
98,cordoba al 1700,25000,,,1,,25-11-2023,buenos-aires
99,gascon al 1800,25000,,1,,,25-11-2023,buenos-aires
100,arenales al 2400,20000,,,1,,25-11-2023,buenos-aires
101,azcuenagua 200,,,2,2,,25-11-2023,buenos-aires
102,paseo 141 400,10000,,1,,,25-11-2023,buenos-aires
103,belgrano al 2200,16000,,,1,,25-11-2023,buenos-aires
104,ayres loft los crisantemos 400 piso pb,455555,,1,,,25-11-2023,buenos-aires
105,tortugas i santa rosa,1200000,,3,,,25-11-2023,buenos-aires
106,terrazas del lago champanat  piso pb,980000,,2,,,25-11-2023,buenos-aires
107,pilara 100,1400000,,2,,,25-11-2023,buenos-aires
108,alem 5000 piso 8,130,,2,1,,25-11-2023,buenos-aires
109,altos del molino,500000,,1,,,25-11-2023,buenos-aires
110,pilar golf  departamentos,500000,,,1,,25-11-2023,buenos-aires
111,champagnat,,,2,,,25-11-2023,buenos-aires
112,champagnat,,,2,,,25-11-2023,buenos-aires
113,pilara  residence,,,2,,,25-11-2023,buenos-aires
114,pje intihuasi al 300,40000,,2,,,25-11-2023,cordoba
115,27 de abril 200,300,,1,,,25-11-2023,cordoba
116,25 de mayo 1100 piso 3,400,,2,,,25-11-2023,cordoba
117,av figueroa alcorta 200 piso 12,260000,,1,,,25-11-2023,cordoba
118,dean funes 900 piso 3,15,,,1,,25-11-2023,cordoba
119,entre rios 1700 piso pa,70000,,2,1,,25-11-2023,cordoba
120,crisol al 100,320000,,1,,,25-11-2023,cordoba
121,rosario de santa fe 1200 piso 1,170000,,,,,25-11-2023,cordoba
122,cnel a olmedo 800 piso 3,110000,,,,,25-11-2023,cordoba
123,avenida 24 de septiembre 1300 piso 1,180000,,,,,25-11-2023,cordoba
124,obispo salguero 500 piso 8,350000,,,,,25-11-2023,cordoba
125,saavedra 100,24000,,1,,,25-11-2023,cordoba
126,dr maradona 300,42000,,2,,,25-11-2023,cordoba
127,alberdi 100,,,1,,,25-11-2023,cordoba
128,moreno 100 piso 000 000,48000,,,1,,25-11-2023,cordoba
129,bv chacabuco 1100 piso 3,27,,1,1,,25-11-2023,cordoba
130,cnel j pringles 300 piso 4,23,,1,,,25-11-2023,cordoba
131,moreno 100 piso 7 h,42000,,1,,,25-11-2023,cordoba
132,jose ingenieros 100,48000,,1,,,25-11-2023,cordoba
